Name,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01
Noel Leeming Albany,5,6,4,3,3,0,0,3,3,4,7,2,0,0,7,3,4,2,5,0,0,5,4,4,7,5,0,0
Noel Leeming Botany,3,4,7,3,8,0,0,6,6,5,5,5,0,0,5,4,4,5,5,0,0,6,4,3,5,7,0,0
Noel Leeming Glenfield Clearance,4,5,4,4,5,0,0,4,5,5,5,4,0,0,2,2,5,5,4,0,0,5,2,2,2,5,0,0
Noel Leeming Henderson,3,6,5,4,5,0,0,4,3,4,5,4,0,0,2,5,7,6,6,0,0,2,6,5,3,7,0,0
Noel Leeming Lunn Avenue,2,4,5,5,2,0,0,4,6,3,5,5,0,0,5,2,4,4,4,0,0,4,3,4,4,4,0,0
Noel Leeming Manukau Supa Centre,4,7,5,4,3,0,0,5,3,2,4,4,0,0,6,4,5,3,5,0,0,5,8,2,3,4,0,0
Noel Leeming Manukau Westfield,2,4,3,6,6,0,0,3,5,3,3,6,0,0,6,2,4,6,2,0,0,6,4,2,6,5,0,0
Noel Leeming Massey,4,3,3,6,3,0,0,5,3,4,6,6,0,0,4,4,4,6,4,0,0,5,2,3,5,5,0,0
Noel Leeming New Lynn,5,5,5,4,3,0,0,5,6,4,3,6,0,0,5,6,4,3,8,0,0,5,7,3,2,5,0,0
Noel Leeming Newmarket,6,3,6,4,5,0,0,4,3,8,5,6,0,0,4,6,5,2,4,0,0,4,3,5,6,5,0,0
Noel Leeming Ormiston,2,7,6,2,6,0,0,6,7,6,5,3,0,0,5,5,5,4,2,0,0,6,4,3,6,4,0,0
Noel Leeming Papakura,2,2,5,4,4,0,0,3,5,7,5,4,0,0,4,6,2,2,3,0,0,6,6,5,3,7,0,0
Noel Leeming Papatoetoe,4,6,6,5,7,0,0,5,4,6,6,5,0,0,3,5,2,2,3,0,0,2,4,4,4,3,0,0
Noel Leeming Penrose Clearance,6,5,4,6,4,0,0,5,3,4,6,5,0,0,4,6,2,7,7,0,0,5,2,6,5,4,0,0
Noel Leeming Queen Street,6,6,2,4,6,0,0,6,5,4,5,5,0,0,6,9,4,2,3,0,0,2,6,5,2,2,0,0
Noel Leeming Royal Oak,3,4,3,6,5,0,0,4,7,6,6,3,0,0,3,4,3,4,3,0,0,3,5,4,5,5,0,0
Noel Leeming St Lukes Mega,5,7,4,6,3,0,0,6,6,6,6,5,0,0,7,6,6,3,4,0,0,4,5,2,4,2,0,0
Noel Leeming St Lukes Westfield,3,2,6,10,6,0,0,4,2,5,4,3,0,0,4,5,4,2,4,0,0,4,6,5,4,6,0,0
Noel Leeming Sylvia Park,3,4,3,3,3,0,0,5,3,6,4,6,0,0,5,5,4,6,2,0,0,5,5,3,6,5,0,0
Noel Leeming Wairau Park,5,5,7,4,2,0,0,2,5,6,7,4,0,0,3,7,4,3,4,0,0,4,6,4,3,6,0,0
The Warehouse Airport,4,4,7,5,4,2,0,5,6,9,6,6,1,0,7,8,9,4,8,2,0,7,4,4,8,7,4,0
The Warehouse Albany,5,7,5,6,7,3,0,6,5,9,7,5,4,0,6,4,8,9,7,4,0,7,6,10,9,10,3,0
The Warehouse Botany Downs,7,7,4,6,9,3,0,3,6,7,10,7,3,0,5,7,9,4,7,2,0,5,6,5,3,3,2,0
The Warehouse Clendon,6,8,9,6,9,3,0,4,6,7,8,9,1,0,6,7,5,6,5,3,0,6,4,7,8,8,3,0
The Warehouse Glenfield Mall,7,4,6,7,7,4,0,6,8,10,4,5,2,0,8,8,6,5,8,1,0,8,4,6,8,6,2,0
The Warehouse Lincoln Road,7,9,6,4,5,2,0,6,6,6,7,9,2,0,8,7,12,8,9,2,0,3,5,7,9,7,4,0
The Warehouse Manukau,7,5,7,7,4,3,0,6,3,5,7,4,4,0,6,8,7,8,8,2,0,8,8,5,8,6,4,0
The Warehouse Milford,4,8,7,6,10,1,0,7,9,5,7,5,3,0,3,7,7,9,4,4,0,5,6,5,4,7,2,0
The Warehouse New Lynn,10,3,6,4,7,2,0,7,11,6,6,9,1,0,5,4,3,6,7,1,0,7,6,7,7,6,4,0
The Warehouse Pakuranga,7,4,8,5,4,1,0,4,4,7,7,8,2,0,6,5,6,11,5,1,0,7,8,9,7,9,4,0
The Warehouse Sylvia Park,6,8,5,6,5,3,0,7,6,6,5,6,2,0,7,9,5,8,6,3,0,5,5,4,7,8,4,0
The Warehouse Takanini,7,4,10,7,9,4,0,9,5,4,6,7,4,0,7,7,5,6,5,1,0,9,6,5,5,6,2,0
The Warehouse WestCity,7,7,6,5,9,4,0,5,6,9,9,5,4,0,8,7,6,3,7,3,0,9,6,7,4,10,4,0
The Warehouse Westgate,9,5,8,4,6,1,0,8,5,6,6,4,1,0,6,7,7,9,6,2,0,6,7,12,4,5,1,0
